no_id,gen_id,vial_id,genvial_id,diet_group,lineage,F2_diet,F1_diet,F0_diet,sex,mass_mg,dev_L1-LP,dev_LP-A,dev_L1-A,ovar_no,wing_length
1478,F2,7,F2-7,RSR,R,rich,std,rich,f,1.8,3.5,5,8.5,,2.037
1943,F2,5,F2-5,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,35,2.038
1525,F2,3,F2-3,RPR,R,rich,poor,rich,f,1.5,3.5,4,7.5,39,2.038
1462,F2,3,F2-3,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,,2.038
1732,F2,7,F2-7,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,39,2.039
1990,F2,5,F2-5,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,45,2.039
2098,F2,6,F2-6,PPS,P,std,poor,poor,f,1.7,5.5,4,9.5,,2.039
1731,F2,7,F2-7,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,27,2.04
2044,F2,2,F2-2,PPS,P,std,poor,poor,f,1.5,5.5,4,9.5,35,2.04
1835,F2,4,F2-4,PRR,P,rich,rich,poor,f,1.3,4.5,4,8.5,38,2.04
1418,F2,1,F2-1,RSR,R,rich,std,rich,f,1.8,4.5,4,8.5,40,2.04
1953,F2,6,F2-6,PPR,P,rich,poor,poor,f,1.5,4.5,4,8.5,,2.04
1464,F2,4,F2-4,RSR,R,rich,std,rich,f,1.7,4.5,4,8.5,,2.04
2002,F2,7,F2-7,PSS,P,std,std,poor,f,1.5,5.5,4,9.5,37,2.041
1730,F2,7,F2-7,RRS,R,std,rich,rich,f,1.6,5.5,4,9.5,18,2.042
1493,F2,1,F2-1,SSS,S,std,std,std,f,1.4,5.5,4,9.5,38,2.042
1965,F2,9,F2-9,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,,2.042
1611,F2,5,F2-5,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,,2.042
1691,F2,7,F2-7,RSS,R,std,std,rich,f,1.5,5.5,4,9.5,36,2.043
1736,F2,8,F2-8,RRS,R,std,rich,rich,f,1.5,5.5,4,9.5,38,2.043
1481,F2,7,F2-7,RSR,R,rich,std,rich,f,1.8,3.5,4,7.5,42,2.043
1461,F2,3,F2-3,RSR,R,rich,std,rich,f,1.7,4.5,4,8.5,41,2.044
1515,F2,4,F2-4,SSS,S,std,std,std,f,1.6,5.5,4,9.5,,2.044
1743,F2,8,F2-8,RRP,R,poor,rich,rich,f,1.5,5.5,4,9.5,34,2.045
1540,F2,6,F2-6,RRR,R,rich,rich,rich,f,1.4,3.5,5,8.5,36,2.045
1911,F2,2,F2-2,PSS,P,std,std,poor,f,1.3,5.5,4,9.5,38,2.045
1424,F2,3,F2-3,RSR,R,rich,std,rich,f,1.6,3.5,4,7.5,,2.045
2005,F2,7,F2-7,PSS,P,std,std,poor,f,1.6,5.5,5,10.5,29,2.046
1692,F2,7,F2-7,RSS,R,std,std,rich,f,1.4,5.5,4,9.5,,2.046
1830,F2,3,F2-3,PRR,P,rich,rich,poor,f,1.5,4.5,4,8.5,37,2.047
1421,F2,4,F2-4,RRR,R,rich,rich,rich,f,1.4,3.5,4,7.5,37,2.047
